"question","choice1","c1","choice2","c2","choice3","c3","choice4","c4","explanation"
"Which of the following is a fundamental principle of British life?","Communism","","Intolerance","","Individual liberty","","Inequity","","Individual libertyis the correct answer."
"Wales has its own established church.","True","","False","","","","","","False. There is no established Church in Wales or Northern Ireland."
"How is New Year’s Eve called in Scotland?","Vaisakhi","","Hannukah","","Diwali","","Hogmanay","","In Scotland, the 31st of December (New Year’s Eve) is calledHogmanay."
"Why did Henry VIII establish the church of England?","Because the Pope didn’t let him divorce his first wife, Catherine of Aragon","","Because the Pope didn’t let him marry Catherine Howard","","Because the Pope wanted England to be a Catholic country","","Because the Pope didn’t let him divorce his wife, Anne of Cleves","","To divorce his first wife, Henry needed the approval of the Pope. When the Pope refused, Henry established the church of England."
"What is the name of the long war that English kings fought with France in the middle ages?","The Crimean War","","The First World War","","The Hundred Years War","","The Boer War","","English kings fought a long war with France, calledthe Hundred Years War(even though it actually lasted 116 years)."
"Who was supported by clansmen from the Scottish highlands and raised and army in 1745?","Bonnie Prince Charlie","","Robert Burns","","Oliver Cromwell","","Kenneth MacAlpin","","In 1745 there was another attempt to put a Stuart king back on the throne in place of George I’s son, George II.Charles Edward Stuart (Bonnie Prince Charlie), the grandson of James II, landed in Scotland. He was supported by clansmen from the Scottish highlands and raised and army."
"If you think someone is trying to persuade you to join an extremist or terrorist activity, who should you contact?","The Home Office","","Your local police force","","Your local MP","","Your family","","If you think someone is trying to persuade you to join an extremist or terrorist cause, you should notify yourlocal police force."
"It is compulsory for 16 and 17-year-olds to join the National Citizen Service programme.","True","","False","","","","","","False. The National Citizen Service programme, which gives 16- and 17-year-olds the opportunity to enjoy outdoor activities, develop their skills and take part in a community project. Therefore,it is optional."
"What is the name of the tour guides that tell visitors stories about the Tower of London’s history?","Knights","","Chartists","","Suffragettes","","Beefeaters","","Tours are given at the Tower of London bythe Yeoman Warders, also known as Beefeaters, who tell visitors about the building’s history."
"Which two countries developed the Concorde, the world’s only supersonic commercial airliner?","Italy","","Britain","","Germany","","France","","Britain and Francedeveloped the world’s only supersonic commercial airliner, Concorde."
"Where is Snowdonia located?","Scotland","","Wales","","England","","Northern Ireland","","Snowdonia is inWales."
"Who wrote Sherlock Holmes?","Evelyn Waugh","","Sir Kingsley Amis","","Graham Greene","","Sir Arthur Conan Doyle","","Sir Arthur Conan Doyleis the author of Sherlock Holmes."
"Which country was invaded by Germany in 1939?","Austria","","Italy","","Russia","","Poland","","Germany invadedPolandin 1939."
"Who is the patron Saint of Wales?","St David","","St George","","St Patrick","","St Andrew","","The patron Saint of Wales isSt David."
"Lake District is the largest national park of England.","True","","False","","","","","","This statement istrue."
"What is the name of the area in London where famous theatres are located?","Soho","","Theatreland","","Westminster","","Hyde Park","","London’s west end, also known as‘Theatreland’, is particularly well known for its theatres."
"Which two of the following are key roles of school governors?","Monitoring student’s behaviour","","Monitoring and evaluating school performance","","Setting the strategic direction of the school","","Giving awards to the best students of the school","","Governors and school boards have an important part to play in raising school standards. They have three key roles:setting the strategic direction of the school, ensuring accountability andmonitoring and evaluating school performance."
"What led the American colonies to want their independence from Britain?","The British government wanted to control their borders","","They were running out of resources","","The British government wanted to tax them","","There were not enough jobs for the local people","","The British government wanted to tax the colonies."
"When did the Black Death take place?","The Golden Age","","The Stone Age","","The Middle Ages","","The Iron Age","","In 1348 (Middle Ages)the Black Death came to Britain."
"Who was the leader of the suffragettes, the group that campaigned for women’s rights to vote?","Queen Victoria","","Oliver Cromwell","","Florence Nightingale","","Emmeline Pankhurst","","Emmeline Pankhurstwas the leader of the suffragettes."
"Cardiff is the capital city of which country?","Scotland","","Northern Ireland","","Ireland","","Wales","","The capital city ofWalesis Cardiff."
"During the Great Depression in the 1930s which industry was badly affected?","Housing construction","","Shipbuilding","","Automobile","","Aviation","","During the ‘Great Depression’ in the 1930s the traditional heavy industries such asshipbuildingwere badly affected."
"Who was the first man in the world to run 1 mile in under 4 minutes?","Sir Chris Hoy","","Sir Roger Bannister","","David Weir","","Mo Farah","","Sir Roger Bannisterwas the first man in the world to run a mile in under four minutes, in 1954."
"Which festival celebrates the end of Ramadan, when Muslims have fasted for a month?","Hannukah","","Vaisakhi","","Eid ul Adha","","Eid al-Fitr","","Eid al-Fitrcelebrates the end of Ramadan, when Muslims have fasted for a month."
